title,title_uuid,volume_number,length,page_count,clean_title
Aho Girl,74ffe70f-82ff-495d-bc21-65b91e864b0b,9,19475,163,Aho Girl
Aho Girl,74ffe70f-82ff-495d-bc21-65b91e864b0b,10,19613,162,Aho Girl
Aho Girl,74ffe70f-82ff-495d-bc21-65b91e864b0b,11,19247,162,Aho Girl
Aho Girl,74ffe70f-82ff-495d-bc21-65b91e864b0b,12,15464,131,Aho Girl
Ai,c926fa75-ba5f-44eb-a26e-2a6cfb5fd92b,1,22221,237,Ai
Ai,c926fa75-ba5f-44eb-a26e-2a6cfb5fd92b,2,23093,230,Ai
Ai,c926fa75-ba5f-44eb-a26e-2a6cfb5fd92b,3,21937,230,Ai
Ai,c926fa75-ba5f-44eb-a26e-2a6cfb5fd92b,4,21751,230,Ai
Ai,c926fa75-ba5f-44eb-a26e-2a6cfb5fd92b,5,19967,230,Ai
Ai,c926fa75-ba5f-44eb-a26e-2a6cfb5fd92b,6,20711,230,Ai
Ai,c926fa75-ba5f-44eb-a26e-2a6cfb5fd92b,7,15168,230,Ai
Ai,c926fa75-ba5f-44eb-a26e-2a6cfb5fd92b,8,16958,230,Ai
Ai,c926fa75-ba5f-44eb-a26e-2a6cfb5fd92b,9,16179,229,Ai
Ai,c926fa75-ba5f-44eb-a26e-2a6cfb5fd92b,10,15404,229,Ai
Ai,c926fa75-ba5f-44eb-a26e-2a6cfb5fd92b,11,15458,245,Ai
Ai,c926fa75-ba5f-44eb-a26e-2a6cfb5fd92b,12,19803,213,Ai
Ai Kurushii Kara Kowashitai,a0879e2b-db38-4945-96a7-f096767c50d2,1,12751,168,Ai Kurushii Kara Kowashitai
Ai Kurushii Kara Kowashitai,a0879e2b-db38-4945-96a7-f096767c50d2,2,12920,168,Ai Kurushii Kara Kowashitai
Ai Kurushii Kara Kowashitai,a0879e2b-db38-4945-96a7-f096767c50d2,3,13141,199,Ai Kurushii Kara Kowashitai
Ai to Noroi,a6b7fdad-14eb-424c-b304-592b6faab826,1,16270,217,Ai to Noroi
Ai to Noroi,a6b7fdad-14eb-424c-b304-592b6faab826,2,10485,219,Ai to Noroi
Ai to Noroi,a6b7fdad-14eb-424c-b304-592b6faab826,3,21152,229,Ai to Noroi
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,1,14775,231,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,2,14130,199,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,3,13584,198,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,4,12114,197,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,5,14506,195,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,6,14671,196,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,7,15864,205,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,8,12928,197,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,9,12495,196,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,10,13511,197,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,11,11226,196,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,12,12544,197,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,13,16966,197,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,14,16592,197,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,15,12693,197,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,16,12169,197,Ajin
Ajin,363075b6-9322-4583-a2a6-81c5c95019e9,17,14318,245,Ajin
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,1,18660,192,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,2,20042,190,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,3,20630,190,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,4,19701,192,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,5,20630,192,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,6,20985,194,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,7,17056,190,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,8,26219,195,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,9,21216,196,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,10,23651,192,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,11,21362,192,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,12,22611,193,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,13,18196,192,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,14,19838,191,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,15,21186,190,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,16,17075,189,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,17,18274,194,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,18,15619,193,Akatsuki no Yona
Akatsuki no Yona,e44c0454-35dd-44d7-a11f-07057f0269be,19,21303,193,Akatsuki no Yona
