clean_title,volume_count,page_count,num_of_unique_chrs,num_of_chrs,avg_chr_per_page,avg_chr_per_volume
"Yondemasu Yo, Azazel-San",10,1816,1871,343576,189.19383259911893,34357.6
Yoshifumi to Karaage,6,880,1471,147479,167.58977272727273,24579.833333333332
Yotsuba to!,15,3290,1213,226273,68.7759878419453,15084.866666666667
Youchien Wars,4,784,990,51266,65.39030612244898,12816.5
Youjo Senki,29,5061,2596,817535,161.5362576565896,28190.862068965518
Youkaku no Majoromi,2,338,732,31885,94.33431952662721,15942.5
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,12,1880,1697,237227,126.1845744680851,19768.916666666668
Yuru Camp△,14,2558,1746,264940,103.57310398749023,18924.285714285714
Yuusha Goikkou no Kaerimichi,1,56,349,5466,97.60714285714286,5466.0
Zashiki Musume to Ryourinin,4,816,1335,118510,145.2328431372549,29627.5
Zeikin de Katta Hon,6,1073,1291,138474,129.05312208760483,23079.0
Zenbu Bukkowasu,6,1158,1458,112764,97.37823834196891,18794.0
Zero Kage Miko,7,1293,1237,83932,64.91260634184069,11990.285714285714
Zettai Watashi no Koto Suki Daro,4,144,461,14426,100.18055555555556,3606.5
[Oshi no Ko],14,2868,1913,328106,114.4023709902371,23436.14285714286
averga,15,2606,1740,263578,101.14274750575595,17571.866666666665
citrus,10,1675,1279,152441,91.00955223880597,15244.1
citrus+,6,842,1009,82860,98.40855106888361,13810.0
inuyasha,39,7422,2296,659793,88.89692805173807,16917.76923076923
mokuro,8,1511,1326,159406,105.49702183984117,19925.75
not simple,1,323,578,22392,69.3250773993808,22392.0
shimeji_simulation_5,1,139,727,19252,138.50359712230215,19252.0
test2,2,274,785,29600,108.02919708029196,14800.0
unCassandra,2,383,959,31603,82.51436031331593,15801.5
の、ような,7,1183,1202,147075,124.32375316990702,21010.714285714286
めだかボックス,21,4124,2443,830107,201.2868574199806,39528.90476190476
ケントゥリア v01,1,198,554,11777,59.47979797979798,11777.0
ワンパンマン,29,6175,2064,444791,72.03093117408906,15337.620689655172
僕の心のヤバイ奴,2,338,942,40214,118.97633136094674,20107.0
